Child,Parent,Relation
regulation of negative chemotaxis,regulation of chemotaxis,is_a
regulation of positive chemotaxis,regulation of chemotaxis,is_a
regulation of dendritic cell chemotaxis,regulation of leukocyte chemotaxis,is_a
regulation of endothelial cell chemotaxis,regulation of chemotaxis,is_a
negative regulation of chemotaxis,regulation of chemotaxis,is_a
positive regulation of chemotaxis,regulation of chemotaxis,is_a
negative regulation of negative chemotaxis,regulation of negative chemotaxis,is_a
negative regulation of negative chemotaxis,negative regulation of chemotaxis,is_a
negative regulation of positive chemotaxis,regulation of positive chemotaxis,is_a
negative regulation of positive chemotaxis,negative regulation of chemotaxis,is_a
positive regulation of negative chemotaxis,regulation of negative chemotaxis,is_a
positive regulation of negative chemotaxis,positive regulation of chemotaxis,is_a
positive regulation of positive chemotaxis,regulation of positive chemotaxis,is_a
positive regulation of positive chemotaxis,positive regulation of chemotaxis,is_a
negative regulation of astrocyte chemotaxis,negative regulation of chemotaxis,is_a
negative regulation of astrocyte chemotaxis,regulation of astrocyte chemotaxis,is_a
positive regulation of astrocyte chemotaxis,positive regulation of chemotaxis,is_a
positive regulation of astrocyte chemotaxis,regulation of astrocyte chemotaxis,is_a
negative regulation of dendritic cell chemotaxis,regulation of dendritic cell chemotaxis,is_a
negative regulation of dendritic cell chemotaxis,negative regulation of leukocyte chemotaxis,is_a
negative regulation of endothelial cell chemotaxis,regulation of endothelial cell chemotaxis,is_a
negative regulation of endothelial cell chemotaxis,negative regulation of chemotaxis,is_a
positive regulation of dendritic cell chemotaxis,regulation of dendritic cell chemotaxis,is_a
positive regulation of dendritic cell chemotaxis,positive regulation of leukocyte chemotaxis,is_a
positive regulation of endothelial cell chemotaxis,regulation of endothelial cell chemotaxis,is_a
positive regulation of endothelial cell chemotaxis,positive regulation of chemotaxis,is_a
regulation of anterior/posterior axon guidance,regulation of axon guidance,is_a
regulation of dorsal/ventral axon guidance,regulation of axon guidance,is_a
negative regulation of axon guidance,negative regulation of chemotaxis,is_a
negative regulation of axon guidance,regulation of axon guidance,is_a
positive regulation of axon guidance,positive regulation of chemotaxis,is_a
positive regulation of axon guidance,regulation of axon guidance,is_a
negative regulation of Schwann cell chemotaxis,negative regulation of chemotaxis,is_a
negative regulation of Schwann cell chemotaxis,regulation of Schwann cell chemotaxis,is_a
positive regulation of Schwann cell chemotaxis,positive regulation of chemotaxis,is_a
positive regulation of Schwann cell chemotaxis,regulation of Schwann cell chemotaxis,is_a
negative regulation of chemotaxis to arachidonic acid,negative regulation of chemotaxis,is_a
negative regulation of chemotaxis to arachidonic acid,regulation of chemotaxis to arachidonic acid,is_a
positive regulation of chemotaxis to arachidonic acid,positive regulation of chemotaxis,is_a
positive regulation of chemotaxis to arachidonic acid,regulation of chemotaxis to arachidonic acid,is_a
negative regulation of cell chemotaxis to fibroblast growth factor,negative regulation of chemotaxis,is_a
negative regulation of cell chemotaxis to fibroblast growth factor,regulation of cell chemotaxis to fibroblast growth factor,is_a
